OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NOOR-3,2023-150A,2023-10-27T05:16:58.071648,15.41224115,.0010307,60.0137,238.1698,325.3358,34.7057,0,U,57962,999,458,.11434E-2,.48011E-3,0
QASED R/B,2023-150B,2023-10-27T04:39:47.811168,15.38734554,.0010037,60.0183,238.6430,276.4127,83.5817,0,U,57963,999,461,.70447E-3,.27035E-3,0
STARLINK-30396,2023-151A,2023-10-26T16:00:00.999936,15.46575536,.0001488,42.9997,13.6009,278.9884,327.6068,0,U,57964,999,542,-.45204E-1,-.2049725E-1,0
STARLINK-30524,2023-151B,2023-10-26T16:00:00.999936,15.47028731,.0001428,42.9996,13.5978,279.7419,328.1973,0,U,57965,999,537,-.445E-1,-.2049971E-1,0
STARLINK-30521,2023-151C,2023-10-26T16:00:00.999936,15.47934564,.0001637,42.9997,13.5935,270.4428,339.6955,0,U,57966,999,542,-.43089E-1,-.2049395E-1,0
STARLINK-30528,2023-151D,2023-10-26T16:00:00.999936,15.47481698,.000151,42.9997,13.5956,275.6574,333.4629,0,U,57967,999,547,-.43794E-1,-.2049841E-1,0
STARLINK-30495,2023-151E,2023-10-26T16:00:00.999936,15.48363474,.000176,42.9996,13.5911,274.0665,336.9630,0,U,57968,999,537,-.42455E-1,-.2050063E-1,0
STARLINK-30484,2023-151F,2023-10-26T16:00:00.999936,15.48906595,.0001831,42.9997,13.5889,278.0872,333.5840,0,U,57969,999,532,-.44185E-1,-.2160633E-1,0
STARLINK-30494,2023-151G,2023-10-26T16:00:00.999936,15.48881305,.0001489,42.9997,13.5875,275.3690,336.9086,0,U,57970,999,537,.10198E-2,.56412E-3,0
STARLINK-30498,2023-151H,2023-10-26T16:00:00.999936,15.48903120,.0001786,42.9996,13.5865,261.9726,350.8857,0,U,57971,999,532,.35705E-3,.19455E-3,0
STARLINK-30505,2023-151J,2023-10-26T16:00:00.999936,15.48906537,.0001707,42.9997,13.5833,295.0752,318.9616,0,U,57972,999,542,.26315E-3,.14242E-3,0
STARLINK-30502,2023-151K,2023-10-26T16:00:00.999936,15.48903453,.0001755,42.9998,13.5871,279.7924,333.6557,0,U,57973,999,542,.35129E-3,.19135E-3,0
STARLINK-30489,2023-151L,2023-10-26T16:00:00.999936,15.47927220,.0001205,43.0000,13.5742,270.9464,347.0342,0,U,57974,999,538,-.31801E-1,-.153405E-1,0
STARLINK-30503,2023-151M,2023-10-26T16:00:00.999936,15.47948796,.0001389,43.0000,13.5713,277.2582,341.9436,0,U,57975,999,542,-.3187E-1,-.1538187E-1,0
STARLINK-30512,2023-151N,2023-10-26T16:00:00.999936,15.47938099,.0001437,42.9999,13.5734,271.1184,347.4768,0,U,57976,999,532,-.31818E-1,-.1535414E-1,0
STARLINK-30509,2023-151P,2023-10-26T16:00:00.999936,15.40490996,.0001179,42.9998,13.9160,289.3611,189.1616,0,U,57977,999,536,-.55576E-1,-.2046953E-1,0
STARLINK-30511,2023-151Q,2023-10-26T16:00:00.999936,15.41378785,.0001266,42.9997,13.8970,286.2817,199.5584,0,U,57978,999,541,-.54043E-1,-.2050338E-1,0
STARLINK-30508,2023-151R,2023-10-26T16:00:00.999936,15.41821552,.0001341,42.9997,13.8892,290.1577,199.1075,0,U,57979,999,537,-.53227E-1,-.2049868E-1,0
STARLINK-30504,2023-151S,2023-10-26T16:00:00.999936,15.40935808,.0001222,42.9997,13.9069,284.6886,197.5705,0,U,57980,999,542,-.54853E-1,-.2050281E-1,0
STARLINK-30510,2023-151T,2023-10-26T16:00:00.999936,15.42265462,.0001352,42.9997,13.8808,289.1363,203.3984,0,U,57981,999,537,-.52482E-1,-.2051552E-1,0
STARLINK-30507,2023-151U,2023-10-26T16:00:00.999936,15.42707235,.0001227,42.9998,13.8736,287.3251,208.3244,0,U,57982,999,541,-.51675E-1,-.205056E-1,0
STARLINK-30515,2023-151V,2023-10-26T16:00:00.999936,15.43150417,.0001242,42.9997,13.8666,288.3377,210.2699,0,U,57983,999,536,-.50916E-1,-.2051091E-1,0
STARLINK-30516,2023-151W,2023-10-26T16:00:00.999936,15.43594008,.0001299,42.9996,13.8593,290.5906,210.8192,0,U,57984,999,542,-.50173E-1,-.2051933E-1,0
STARLINK-30519,2023-151X,2023-10-26T16:00:00.999936,15.44035589,.0001179,42.9996,13.8516,288.3829,215.6744,0,U,57985,999,536,-.49385E-1,-.2050574E-1,0
